imdb_id,titleType,primaryTitle,runtimeMinutes,id,budget,original_language,popularity,revenue,release_month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,weighted_rating,actor_present,directors_present,Variance
tt0023876,movie,Cavalcade,112.0,56164,1180280,en,0.087388,7630000,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.220470287628803,0,0,6449720
tt0024034,movie,42nd Street,89.0,3062,439000,en,0.52829,2281000,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.709010074651451,0,0,1842000
tt0024166,movie,I'm No Angel,87.0,34456,225000,en,0.214632,2850000,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.390004803609983,0,0,2625000
tt0024216,movie,King Kong,100.0,244,672000,en,1.52543,10000000,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.594463975325183,0,0,9328000
tt0024481,movie,Queen Christina,99.0,31526,1114000,en,1.053446,2610000,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.665735346002787,0,0,1496000
tt0024548,movie,She Done Him Wrong,66.0,43595,200000,en,0.159777,2200000,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.325394564023343,0,0,2000000
tt0025316,movie,It Happened One Night,105.0,3078,325000,en,1.299344,4500000,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.804748475383956,0,0,4175000
tt0025617,movie,The Painted Veil,85.0,82096,947000,en,0.012591,1120000,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.323478571146664,0,0,173000
tt0025878,movie,The Thin Man,91.0,3529,226408,en,1.196867,1423000,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.308378419303081,0,0,1196592
tt0026071,movie,Anna Karenina,95.0,70881,1152000,en,0.938027,1439000,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.4504306177499675,0,0,287000
